iter	RMSE
0	75450.5068311	71869.8230422	68668.8302933	65485.8824844	62450.9050655	59612.6881666	56847.5620677	54207.1008588	51767.8526
9	49484.49546
10	47220.49822
11	45036.09593
12	42977.07125
13	41004.26043
14	39183.28513
15	37465.3561
16	35802.77878
17	34232.64073
18	32732.12968
19	31320.66609
20	29977.61512
21	28698.46985
22	27452.61704
23	26353.64514
24	25243.04967
25	24180.10708
26	23171.95292
27	22215.57548
28	21282.96152
29	20451.97222
30	19651.51521
31	18864.88902
32	18146.01255
33	17456.42028
34	16772.40898
35	16147.40799
36	15589.99537
37	15031.75835
38	14497.90042
39	14002.11048
40	13538.10012
41	13093.63183
42	12705.61554
43	12320.41407
44	11942.59529
45	11587.65754
46	11268.40614
47	10958.66281
48	10672.60911
49	10401.43214
50	10150.1717
51	9903.147431
52	9695.992047
53	9501.275726
54	9306.149101
55	9126.852474
56	8948.854731
57	8793.615737
58	8641.66953
59	8515.261263
60	8393.705874
61	8270.650622
62	8161.030446
63	8060.917675
64	7969.281616
65	7878.754077
66	7810.196415
67	7731.573379
68	7663.71541
69	7594.979529
70	7532.571376
71	7475.432643
72	7419.240031
73	7370.616641
74	7324.011038
75	7281.340681
76	7244.255403
77	7210.053201
78	7173.731626
79	7141.808039
80	7109.575691
81	7078.236093
82	7051.222178
83	7019.313602
84	6995.339199
85	6973.074485
86	6951.646165
87	6929.243657
88	6908.019504
89	6889.055682
90	6868.202138
91	6846.015396
92	6824.867472
93	6805.016067
94	6788.624533
95	6774.207873
96	6756.829185
97	6740.275096
98	6723.43528
99	6710.586262
100	6696.516477
101	6681.654552
102	6663.186171
103	6649.093234
104	6638.716732
105	6631.429415
106	6621.875373
107	6613.473177
108	6605.368561
109	6593.501715
110	6582.269888
111	6571.418362
112	6559.469177
113	6550.798226
114	6541.833714
115	6532.749907
116	6526.333629
117	6517.061767
118	6507.766734
119	6500.024405
120	6488.366677
121	6480.284103
122	6475.368939
123	6468.623362
124	6462.952345
125	6459.779875
126	6454.83495
127	6449.943592
128	6441.517405
129	6433.869468
130	6427.944078
131	6424.45129
132	6418.011215
133	6413.140469
134	6409.794991
135	6405.953041
136	6399.198835
137	6387.049962
138	6377.407743
139	6368.92999
140	6362.54117
141	6360.303119
142	6350.238676
143	6346.723036
144	6342.83002
145	6337.214383
146	6332.524703
147	6326.461273
148	6322.891024
149	6317.516848
150	6315.170289
151	6309.908935
152	6303.044826
153	6298.963783
154	6294.56965
155	6289.354448
156	6286.483217
157	6280.347756
158	6271.373267
159	6266.9821
160	6260.037157
161	6254.20081
162	6252.565802
163	6249.489518
164	6245.956529
165	6241.75277
166	6236.616726
167	6231.91931
168	6225.528025
169	6211.90982
170	6210.035831
171	6204.209331
172	6199.241149
173	6192.841064
174	6189.202766
175	6182.62681
176	6178.496873
177	6172.828735
178	6166.039807
179	6164.133538
180	6160.093323
181	6150.018271
182	6146.829964
183	6138.818074
184	6134.989143
185	6126.324211
186	6121.452378
187	6115.875491
188	6110.104445
189	6103.96796
190	6099.085858
191	6096.497692
192	6091.430666
193	6085.474578
194	6073.094653
195	6066.37673
196	6061.701413
197	6057.779518
198	6054.341189
199	6051.067323
200	6048.719613
201	6045.435878
202	6038.332683
203	6034.902505
204	6031.725553
205	6020.448879
206	6017.232155
207	6014.416915
208	6005.979328
209	6003.22289
210	6000.523075
211	5992.992376
212	5989.884778
213	5986.942242
214	5979.772558
215	5971.619582
216	5965.646085
217	5959.691849
218	5950.926953
219	5946.105668
220	5942.275015
221	5939.08428
222	5932.038944
223	5923.679803
224	5918.764203
225	5913.159472
226	5903.177932
227	5897.843562
228	5891.946419
229	5889.270415
230	5884.135595
231	5882.531899
232	5876.503152
233	5875.016516
234	5865.721112
235	5860.576168
236	5858.376339
237	5849.576145
238	5843.744916
239	5835.866424
240	5829.002915
241	5826.499229
242	5819.744875
243	5817.297339
244	5811.347763
245	5804.671448
246	5797.468075
247	5789.148418
248	5784.307277
249	5781.952483
250	5778.879567
251	5776.637491
252	5774.464553
253	5764.999966
254	5762.889989
255	5757.564194
256	5750.6978
257	5747.413118
258	5742.498308
259	5736.188177
260	5732.565167
261	5729.305839
262	5723.680676
263	5721.639996
264	5715.526397
265	5707.372661
266	5701.562111
267	5696.460911
268	5689.34243
269	5686.233006
270	5681.608307
271	5676.583889
272	5671.973609
273	5665.238078
274	5660.419916
275	5652.085566
276	5649.435628
277	5641.622001
278	5634.322827
279	5628.991235
280	5624.100514
281	5619.628837
282	5611.711692
283	5607.192011
284	5603.546028
285	5599.061782
286	5595.436363
287	5591.243424
288	5587.186575
289	5583.068107
290	5579.461847
291	5577.394094
292	5575.172303
293	5571.706933
294	5569.822754
295	5564.547937
296	5556.758801
297	5552.643873
298	5549.594794
299	5545.560968
300	5539.442674
301	5536.833573
302	5531.000106
303	5526.056376
304	5522.340465
305	5516.847191
306	5513.52296
307	5510.961529
308	5509.327056
309	5504.59101
310	5498.774427
311	5496.322934
312	5491.73587
313	5488.07397
314	5484.393193
315	5479.019659
316	5475.704349
317	5471.238131
318	5468.716095
319	5465.528935
320	5463.766936
321	5460.974481
322	5459.265278
323	5457.60549
324	5454.249453
325	5450.509932
326	5447.113171
327	5444.821501
328	5440.548147
329	5438.214016
330	5434.03098
331	5429.016697
332	5425.587929
333	5421.024979
334	5415.129033
335	5411.718049
336	5406.026073
337	5401.757797
338	5398.215542
339	5394.481143
340	5392.370486
341	5391.067637
342	5385.910215
343	5383.709401
344	5380.817129
345	5378.20948
346	5369.927115
347	5363.835199
348	5361.882477
349	5358.414294
350	5352.413924
351	5347.951887
352	5342.812589
353	5338.890974
354	5335.407145
355	5332.940219
356	5327.742957
357	5325.506378
358	5318.012641
359	5314.56262
360	5311.387331
361	5305.998447
362	5302.757095
363	5298.843965
364	5293.785449
365	5290.559519
366	5287.451346
367	5283.911339
368	5279.326856
369	5277.21145
370	5271.722053
371	5268.060077
372	5265.893675
373	5261.689154
374	5257.235821
375	5256.140891
376	5250.855464
377	5246.997825
378	5244.174274
379	5239.591002
380	5237.619846
381	5235.320929
382	5232.001249
383	5229.277292
384	5224.538126
385	5221.574374
386	5214.657866
387	5209.584017
388	5207.058603
389	5204.678517
390	5202.574188
391	5198.871311
392	5195.376828
393	5193.366218
394	5191.602632
395	5188.374376
396	5186.841336
397	5181.479006
398	5179.054505
399	5175.493994
400	5172.743252
401	5170.517692
402	5168.251619
403	5163.406132
404	5161.149054
405	5159.52112
406	5154.251569
407	5151.383351
408	5148.575039
409	5146.451592
410	5141.966091
411	5140.051892
412	5137.781845
413	5135.20106
414	5130.659294
415	5124.484947
416	5122.122774
417	5117.676792
418	5114.513317
419	5110.377889
420	5106.700802
421	5103.161408
422	5099.484925
423	5097.476208
424	5094.60609
425	5088.761011
426	5085.490613
427	5082.555482
428	5080.058871
429	5077.844419
430	5073.577933
431	5068.954668
432	5067.022599
433	5064.353809
434	5060.31494
435	5058.755653
436	5055.483449
437	5051.923811
438	5048.349199
439	5044.541615
440	5043.662317
441	5041.379622
442	5037.699739
443	5034.085805
444	5030.233813
445	5027.04144
446	5024.65372
447	5021.674649
448	5019.083099
449	5015.896458
450	5013.580209
451	5011.0408
452	5008.047427
453	5006.033791
454	5002.215047
455	4998.723879
456	4996.178854
457	4992.050527
458	4986.642612
459	4982.085208
460	4978.118737
461	4975.935523
462	4973.500772
463	4971.099861
464	4967.28818
465	4965.365755
466	4961.621949
467	4959.79304
468	4956.545133
469	4952.336522
470	4949.042163
471	4946.335431
472	4942.991696
473	4938.841105
474	4936.804137
475	4936.196568
476	4934.488183
477	4932.938799
478	4929.406394
479	4924.951848
480	4921.10091
481	4916.572467
482	4915.514945
483	4913.379009
484	4909.599469
485	4908.042674
486	4904.563732
487	4903.020567
488	4899.987868
489	4897.443847
490	4895.052669
491	4891.991876
492	4889.925919
493	4886.732494
494	4883.864189
495	4880.848401
496	4878.460986
497	4876.269643
498	4873.624544
499	4872.511149
